official_title,study_first_posted_date,verification_date,start_date,start_month_year,nct_id,phase,last_known_status,study_type,enrollment,overall_status,facilitiesCount,multisite,funding,fundingComb,intervention_comb,interventionType,interventionTypeCombined,were_results_reported,pubCount,pubCountBool,diverse,diverseGroup,yearStart,numMissing,interventionDrugNonDrug,industryNonIndustry,raceSpecific
Pravastatin for the Prevention of Preeclampsia in High-Risk Women: A Phase I Pilot Study,10/30/2012,2/28/2019,8/31/2012,Aug-12,NCT01717586,Phase 1,NA,Interventional,48,"Active, not recruiting",3,TRUE,NIH,Public,"Drug, Drug",Drug,Pharmaceutical,FALSE,1,TRUE,Non-race specific,Non-race specific,2012,1,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Combined Inhaled Nitric Oxide and Inhaled Prostacyclin After Cardiac Surgery for Heart Transplantation and for Left Ventricular Assist Device Placement,10/30/2012,10/31/2017,10/31/2012,Oct-12,NCT01717209,Phase 4,NA,Interventional,14,Completed,1,FALSE,Other,Other,"Drug, Drug",Drug,Pharmaceutical,TRUE,4,TRUE,Non-race specific,Non-race specific,2012,1,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"A Multi-Center, Placebo-Controlled Randomized Pilot of the Effect of Sorafenib on Portal Pressure in Patients With Cirrhosis, Portal Hypertension and Hepatocellular Carcinoma Treated With Ablative Therapy and/or Transarterial Chemoembolization",10/26/2012,11/30/2015,8/31/2011,Aug-11,NCT01714609,Phase 2,NA,Interventional,10,Completed,6,TRUE,Industry,Industry,"Drug, Drug",Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Drug Intervention,Industry Sponsor,Non-Race Specific
Using an Internet Survey to Improve Patient Adherence in Chronic Disease,10/10/2012,1/31/2020,10/31/2012,Oct-12,NCT01702883,Not Applicable,NA,Interventional,186,"Active, not recruiting",1,FALSE,Other,Other,Other,other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Evaluation of Lysine-Specific Demethylase 1 As An Epigenetic Regulator of Salt Sensitive Hypertension,10/8/2012,7/31/2017,7/31/2012,Jul-12,NCT01702688,Not Applicable,NA,Interventional,0,Withdrawn,1,FALSE,Other,Other,"Drug, Drug",Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
The Blood Pressure Effects of Febuxostat in Patients Previously Treated With Allopurinol: A Pilot Study,10/5/2012,12/31/2017,1/31/2010,Jan-10,NCT01701622,Not Applicable,NA,Interventional,1,Terminated,1,FALSE,Other,Other,Drug,Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
The Effects of Pork vs. Chicken/Fish in a DASH Diet on Blood Pressure Regulation in Middle Aged and Older Adults (S31),9/28/2012,8/31/2015,4/30/2012,Apr-12,NCT01696097,Not Applicable,NA,Interventional,19,Completed,1,FALSE,Other,Other,Behavioral,Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"Effects of Milk Protein Concentrate on Blood Pressure, Inflammation, Muscle Health During Weight Loss in Overweight/Obese Adults",9/25/2012,11/30/2015,1/31/2012,Jan-12,NCT01692860,Not Applicable,NA,Interventional,48,Completed,1,FALSE,Other,Other,Other,other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Five Plus Nuts and Beans Trial,9/21/2012,8/31/2016,4/30/2012,Apr-12,NCT01689844,Not Applicable,NA,Interventional,123,Completed,1,FALSE,NIH,Public,"Behavioral, Behavioral",Behavioral,Behavioral,FALSE,NA,FALSE,African American,Race-specific,2012,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Daily Incorporation of Blueberries Into a Diet Favorably Improves Vascular Function and Lowers Aortic Blood Pressure in Postmenopausal Women With Pre- and Stage 1-hypertension.,9/18/2012,1/31/2015,1/31/2012,Jan-12,NCT01686282,Phase 2,NA,Interventional,48,Completed,1,FALSE,Other,Other,"Dietary Supplement, Dietary Supplement",other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Value of Liquid Potassium Magnesium Citrate in Controlling Hypertension,9/11/2012,3/31/2017,10/31/2012,Oct-12,NCT01682837,Phase 2,NA,Interventional,35,Completed,1,FALSE,Other,Other,"Drug, Drug, Drug, Drug",Drug,Pharmaceutical,TRUE,1,TRUE,Non-race specific,Non-race specific,2012,1,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Financial Incentives for Medication Adherence,9/3/2012,1/31/2015,9/30/2012,Sep-12,NCT01678183,Not Applicable,NA,Interventional,74,Completed,1,FALSE,Industry,Industry,"Behavioral, Behavioral",Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Industry Sponsor,Non-Race Specific
Dietary Nitrates for Heart Failure,9/10/2012,4/30/2019,1/31/2012,Jan-12,NCT01682356,Phase 1/Phase 2,NA,Interventional,126,Enrolling by invitation,2,TRUE,Other,Other,"Dietary Supplement, Dietary Supplement",other,other,FALSE,9,TRUE,Non-race specific,Non-race specific,2012,1,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Insights for Community Health,9/10/2012,10/31/2015,9/30/2012,Sep-12,NCT01681862,Not Applicable,NA,Interventional,55,Completed,2,TRUE,Other,Other,Behavioral,Behavioral,Behavioral,FALSE,NA,FALSE,African American,Race-specific,2012,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
An Open-Label Study of Oral Nitrite in Adults With Metabolic Syndrome and Hypertension,9/10/2012,3/31/2019,10/31/2012,Oct-12,NCT01681810,Phase 2,NA,Interventional,20,Completed,1,FALSE,Other,Other,Drug,Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
BAROSTIM NEO Hypertension Pivotal Trial,9/5/2012,9/30/2019,4/12/2013,12-Apr-13,NCT01679132,Not Applicable,NA,Interventional,10,Suspended,11,TRUE,Industry,Industry,Device,Device,Device,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Industry Sponsor,Non-Race Specific
"A Randomized, Unblinded, Single Research Site, Comparator Study of Raisins Versus Alternative Snacks on Glycemic Control and Other Cardiovascular Risk Factors in Patients With Type 2 Diabetes Mellitus",9/3/2012,3/31/2014,6/30/2012,Jun-12,NCT01677936,Phase 4,NA,Interventional,51,Completed,1,FALSE,Other,Other,"Other, Other",other,other,TRUE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Program for Research on the Outcomes of VA Education: Controlled Study of Panel Management and Microsystem Education Interventions to Improve Outcomes in Hypertension and Smoking Cessation,9/3/2012,5/31/2018,9/1/2009,1-Sep-09,NCT01677533,Not Applicable,NA,Interventional,5000,Completed,2,TRUE,U.S. Fed,Public,"Other, Other, Other",other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
The Effects of Supplementing Tyrosine on Blood Pressure in Parkinson's Disease,8/30/2012,4/30/2014,9/30/2012,Sep-12,NCT01676103,Phase 1/Phase 2,NA,Interventional,40,Completed,1,FALSE,Other,Other,"Dietary Supplement, Other",other,other,FALSE,15,TRUE,Non-race specific,Non-race specific,2012,1,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
ARTISAN: iCASTâ„¢ RX De Novo Stent Placement for the Treatment of Atherosclerotic Renal Artery Stenosis in Patients With Resistant Hypertension,8/28/2012,7/31/2019,10/31/2012,Oct-12,NCT01673373,Not Applicable,NA,Interventional,68,"Active, not recruiting",12,TRUE,Industry,Industry,Device,Device,Device,TRUE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Industry Sponsor,Non-Race Specific
Effects of Cocoa on Ambulatory Blood Pressure and Vascular Function in Patients With Stage I Hypertension,8/27/2012,12/31/2014,7/31/2012,Jul-12,NCT01672840,Not Applicable,NA,Interventional,120,Completed,2,TRUE,Other,Other,"Dietary Supplement, Dietary Supplement",other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Pharmacokinetics of Sildenafil in Premature Infants,8/21/2012,11/30/2016,2/28/2013,Feb-13,NCT01670136,Phase 1,NA,Interventional,34,Completed,9,TRUE,Industry,Industry,Drug,Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Drug Intervention,Industry Sponsor,Non-Race Specific
A Pilot Study of Plasma Renin Activity Guided vs Generic Combination Therapy for Hypertension,8/7/2012,8/31/2015,10/31/2012,Oct-12,NCT01658657,Not Applicable,NA,Interventional,17,Completed,1,FALSE,Other,Other,"Drug, Drug, Drug, Drug, Drug",Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"Prevalence, Awareness and Management of Hypertension in Acute Care Personnel",8/2/2012,5/31/2013,8/31/2012,Aug-12,NCT01655654,Not Applicable,"Active, not recruiting",Interventional,160,Unknown status,1,FALSE,Other,Other,"Behavioral, Behavioral, Other",Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,1,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
A Effectiveness Trial of Early Hemodynamic Support in Patients Demonstrating a Low Systolic Blood Pressure,8/1/2012,1/31/2018,7/31/2012,Jul-12,NCT01654835,Not Applicable,NA,Interventional,0,Withdrawn,1,FALSE,Other,Other,"Other, Other",other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Effect of Vitamin D and Omega-3 Fatty Acids on Blood Pressure and Hypertension,7/31/2012,7/31/2019,11/30/2011,Nov-11,NCT01653678,Not Applicable,NA,Interventional,25875,"Active, not recruiting",1,FALSE,NIH,Public,"Dietary Supplement, Drug, Dietary Supplement, Drug",Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Evive Health Randomized Controlled Trials,7/30/2012,9/30/2017,8/31/2014,Aug-14,NCT01653197,Not Applicable,NA,Interventional,29,Completed,1,FALSE,Other,Other,"Behavioral, Behavioral, Behavioral",Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Micro-Clinic Obesity and Metabolic Risk Prevention Program: A Randomized-Control Trial of a Social-Network Based Intervention,7/26/2012,3/31/2016,6/30/2011,Jun-11,NCT01651065,Not Applicable,NA,Interventional,919,Completed,1,FALSE,Other,Other,"Behavioral, Behavioral",Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Intensive Versus Standard Blood Pressure Lowering to Prevent Functional Decline in Older People,7/26/2012,4/30/2019,12/31/2011,Dec-11,NCT01650402,Not Applicable,NA,Interventional,199,Completed,1,FALSE,NIH,Public,"Other, Other",other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Integrative Stress Reduction for Maternal-Child Health,7/20/2012,12/31/2014,1/31/2011,Jan-11,NCT01646463,Phase 1/Phase 2,"Active, not recruiting",Interventional,49,Unknown status,1,FALSE,Other,Other,"Behavioral, Behavioral",Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,1,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Non-invasive Diagnosis of Portal Hypertension by Acoustic Radiation Force Impulse (ARFI) Imaging of the Liver and Spleen in Patients With Chronic Liver Disease,7/19/2012,9/30/2018,7/31/2012,Jul-12,NCT01644656,Not Applicable,NA,Interventional,500,Completed,2,TRUE,U.S. Fed,Public,Device,Device,Device,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Tailored Approaches to Improve Medication Adherence,7/18/2012,9/30/2019,4/30/2013,Apr-13,NCT01643473,Not Applicable,NA,Interventional,42,Completed,1,FALSE,Industry,Industry,"Behavioral, Other",Behavioral,Behavioral,TRUE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Industry Sponsor,Non-Race Specific
Investigation of Motivational Interviewing and Prevention Consults to Achieve Cardiovascular Targets,7/17/2012,12/31/2016,6/30/2012,Jun-12,NCT01642355,Not Applicable,NA,Interventional,400,Completed,1,FALSE,Other,Other,"Behavioral, Behavioral",Behavioral,Behavioral,FALSE,1,TRUE,Non-race specific,Non-race specific,2012,1,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Pharmacologic Interventions for Cardiovascular Disease in Obstructive Sleep Apnea,7/11/2012,6/30/2017,6/30/2012,Jun-12,NCT01637623,Phase 2,NA,Interventional,90,Completed,4,TRUE,NIH,Public,"Drug, Drug, Drug",Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Influence of Hormone Replacement on Neural Cardiovascular Control in Postmenopausal Women,7/4/2012,6/30/2017,9/30/2011,Sep-11,NCT01633814,Not Applicable,NA,Interventional,4,Terminated,1,FALSE,Other,Other,"Drug, Drug",Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Impact of Renal SympAthetic DenerVation on Chronic HypErtension,6/26/2012,1/31/2018,10/31/2011,Oct-11,NCT01628198,Not Applicable,NA,Interventional,38,Terminated,1,FALSE,Other,Other,Device,Device,Device,TRUE,28,TRUE,Non-race specific,Non-race specific,2012,1,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"Arthritis Foundation Exercise Program & ""10 Keys"" to Healthy Aging",6/11/2012,12/31/2014,3/31/2012,Mar-12,NCT01616433,Phase 2,NA,Interventional,462,Completed,1,FALSE,Other,Other,"Behavioral, Behavioral",Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Ex-vivo Perfusion and Ventilation of Lungs Recovered From Non-Heart-Beating Donors to Assess Transplant Suitability,6/8/2012,3/31/2018,9/30/2013,Sep-13,NCT01615484,Not Applicable,NA,Interventional,24,Completed,2,TRUE,Industry,Industry,"Procedure, Device",Procedure,Procedure,TRUE,10,TRUE,Non-race specific,Non-race specific,2012,1,Non-Drug Intervention,Industry Sponsor,Non-Race Specific
A Pilot Study to Improve Patient-Doctor Communication,5/28/2012,5/31/2012,11/30/2010,Nov-10,NCT01606930,Not Applicable,NA,Interventional,106,Completed,1,FALSE,U.S. Fed,Public,Behavioral,Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
A Modernized Approach to Prenatal Care in Low Risk Women,5/28/2012,2/28/2017,7/31/2012,Jul-12,NCT01606774,Not Applicable,NA,Interventional,4,Completed,1,FALSE,Other,Other,Other,other,other,FALSE,1,TRUE,Non-race specific,Non-race specific,2012,1,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Can Nebivolol Reverse Inappropriate Left Ventricular Mass in Hypertensive Patients?,5/24/2012,5/31/2014,6/30/2012,Jun-12,NCT01605370,Phase 4,NA,Interventional,1,Terminated,1,FALSE,Industry,Industry,"Drug, Drug",Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Drug Intervention,Industry Sponsor,Non-Race Specific
Increasing Medication Adherence Through Physician Incentives and Messaging,5/22/2012,10/31/2015,6/30/2012,Jun-12,NCT01603329,Not Applicable,NA,Interventional,734,Completed,1,FALSE,Industry,Industry,Other,other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Industry Sponsor,Non-Race Specific
Working With Veterans Organizations to Encourage Use of My HealtheVet,5/14/2012,2/28/2014,6/30/2012,Jun-12,NCT01597843,Not Applicable,NA,Interventional,282,Completed,1,FALSE,U.S. Fed,Public,Other,other,other,TRUE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Nebivolol and Endothelial Regulation of Fibrinolysis,5/10/2012,6/30/2019,2/29/2012,Feb-12,NCT01595516,Phase 4,NA,Interventional,44,Completed,1,FALSE,Industry,Industry,"Drug, Drug, Drug, Other, Other, Other",Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Drug Intervention,Industry Sponsor,Non-Race Specific
Running Against Prehypertension Trial (RAPT): A Pilot Randomized Controlled Trial,4/30/2012,8/31/2013,3/31/2012,Mar-12,NCT01587183,Not Applicable,NA,Interventional,22,Completed,1,FALSE,Other,Other,"Behavioral, Behavioral, Behavioral",Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
The Medication Metronome Project,4/27/2012,12/31/2015,5/31/2012,May-12,NCT01586897,Not Applicable,NA,Interventional,52,Completed,1,FALSE,U.S. Fed,Public,"Device, Other",Device,Device,TRUE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
NA,4/17/2012,12/31/2012,12/31/2011,Dec-11,NCT01579136,Not Applicable,NA,Interventional,26,Terminated,1,FALSE,Other,Other,Behavioral,Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,3,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
EHR-based Health Literacy Strategy to Promote Medication Therapy Management,4/17/2012,6/30/2019,4/30/2012,Apr-12,NCT01578577,Not Applicable,NA,Interventional,920,Completed,1,FALSE,NIH,Public,"Behavioral, Behavioral",Behavioral,Behavioral,TRUE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Hypotensive Effects of Conventional Dairy Products: Role of Arterial Stiffness,4/13/2012,2/28/2014,1/31/2012,Jan-12,NCT01577030,Not Applicable,NA,Interventional,49,Completed,1,FALSE,Other,Other,"Dietary Supplement, Dietary Supplement",other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
A Phase 1 Crossover Study of Blood Pressure and Heart Rate Response to Pseudoephedrine Concurrent With Placebo or TR 701 FA,4/13/2012,8/31/2018,4/23/2012,23-Apr-12,NCT01577459,Phase 1,NA,Interventional,18,Completed,1,FALSE,Industry,Industry,"Drug, Other",Drug,Pharmaceutical,FALSE,1,TRUE,Non-race specific,Non-race specific,2012,1,Drug Intervention,Industry Sponsor,Non-Race Specific
Multi-Method Health System QI Intervention to Reduce Hypertension Disparities,3/29/2012,1/31/2018,4/30/2011,Apr-11,NCT01566864,Not Applicable,NA,Interventional,66570,Completed,1,FALSE,NIH,Public,"Behavioral, Behavioral, Behavioral",Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Efficacy of Dietary Sodium Restriction of Improving Vascular Endothelial Function in Middle Aged and Older Adults,3/29/2012,12/31/2015,2/28/2009,Feb-09,NCT01566084,Not Applicable,NA,Interventional,17,Completed,1,FALSE,NIH,Public,"Drug, Other",Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"A Randomized Multiple Baseline Intervention Study of Metabolic Syndrome, Mental Health, and Spiritual Well-Being of United Methodist Clergy in North Carolina",3/28/2012,2/28/2017,10/31/2010,Oct-10,NCT01564719,Not Applicable,NA,Interventional,1114,Completed,1,FALSE,Other,Other,Behavioral,Behavioral,Behavioral,FALSE,11,TRUE,Non-race specific,Non-race specific,2012,1,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"Perindopril Amlodipine for the Treatment of Hypertension (PATH): A Multicenter, Randomized, Double-Blind, Parallel-Group Study Evaluating the Efficacy and Safety of a Fixed-Dose Combination of Perindopril Arginine Plus Amlodipine Besylate Versus Perindopril Erbumine and Amlodipine Besylate in Subjects With Essential Hypertension",3/19/2012,8/31/2015,2/29/2012,Feb-12,NCT01556997,Phase 3,NA,Interventional,837,Completed,48,TRUE,Industry,Industry,"Drug, Drug, Drug",Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Drug Intervention,Industry Sponsor,Non-Race Specific
Effects of GSH and N-Acetylcysteine on Inflammatory Markers Among Adults With CVD Risk,3/12/2012,5/31/2017,6/30/2011,Jun-11,NCT01550432,Not Applicable,NA,Interventional,78,Completed,1,FALSE,NIH,Public,"Dietary Supplement, Dietary Supplement, Other",other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Early Prediction and Aspirin for Prevention of Preeclampsia,3/7/2012,5/31/2018,3/31/2012,Mar-12,NCT01547390,Not Applicable,NA,Interventional,104,Terminated,1,FALSE,Other,Other,"Drug, Drug",Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
B40 Non-Invasive Blood Pressure Equivalency Study,3/7/2012,5/31/2013,3/31/2012,Mar-12,NCT01546285,Not Applicable,NA,Interventional,66,Completed,1,FALSE,Industry,Industry,Device,Device,Device,TRUE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Industry Sponsor,Non-Race Specific
"A Randomized Effectiveness Trial of Early Hemodynamic Support in Patients Demonstrating a Double and Triple Low Combination of Mean Arterial Pressure, and Either End-tidal Anesthetic Concentration or Bispectral Index.",3/7/2012,5/31/2014,1/31/2011,Jan-11,NCT01545596,Not Applicable,NA,Interventional,20237,Completed,1,FALSE,Other,Other,Behavioral,Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Effectiveness of Yoga on Ambulatory Blood Pressure in Patients With Pre- and Stage I Hypertension,3/2/2012,1/31/2013,9/30/2011,Sep-11,NCT01542359,Not Applicable,NA,Interventional,90,Completed,1,FALSE,Other,Other,"Other, Other",other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"A Phase 1, Blinded, Placebo-Controlled, Crossover TR-701 FA Study of Blood Pressure Response Post-Tyramine Challenge",2/27/2012,5/31/2016,2/29/2012,Feb-12,NCT01539473,Phase 1,NA,Interventional,30,Completed,1,FALSE,Industry,Industry,"Drug, Drug",Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Drug Intervention,Industry Sponsor,Non-Race Specific
The Safety Evaluation of Aminophylline and Ambrisentan When Administered Orally Alone and in Combination to Healthy Volunteers,2/10/2012,11/30/2013,2/29/2012,Feb-12,NCT01530464,Phase 1,NA,Interventional,18,Completed,1,FALSE,Other,Other,"Drug, Drug, Drug",Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Effects of Stored Red Blood Cell Transfusion in Overweight Subjects With Endothelial Dysfunction: Influence of Inhaled Nitric Oxide (iNO),2/8/2012,4/30/2017,3/31/2012,Mar-12,NCT01529502,Phase 2,NA,Interventional,14,Completed,1,FALSE,Other,Other,"Procedure, Procedure, Drug",Procedure,Procedure,TRUE,6,TRUE,Non-race specific,Non-race specific,2012,1,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"A Prospective, Randomized, Comparative Effectiveness Trial of the ActiV.A.C.+ Compression Therapy Versus Compression Therapy Alone for the Treatment of Chronic Venous Ulcerations",2/8/2012,12/31/2016,7/31/2012,Jul-12,NCT01528293,Not Applicable,NA,Interventional,2,Terminated,1,FALSE,Other,Other,"Device, Other",Device,Device,TRUE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
NA,2/2/2012,10/31/2013,1/31/2012,Jan-12,NCT01525173,Phase 4,NA,Interventional,137,Completed,1,FALSE,Industry,Industry,"Drug, Drug, Drug, Drug",Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2012,3,Drug Intervention,Industry Sponsor,Non-Race Specific
"Phase 1, Randomized, Double-Blind, Placebo-Controlled Single Ascending Dose Study to Assess the Safety, Tolerability, Pharmacokinetics and Pharmacodynamic Response of Vasomera (PB1046) Injection Following a Single Subcutaneous Dose in Adult Subjects With Stage 1 or Stage 2 Essential Hypertension",2/1/2012,1/31/2013,1/31/2012,Jan-12,NCT01523067,Phase 1,NA,Interventional,68,Completed,5,TRUE,Industry,Industry,"Drug, Drug",Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Drug Intervention,Industry Sponsor,Non-Race Specific
"A Double-blind, Placebo-controlled, Randomized Study Examining the Effects of Nebivolol Compared to Atenolol on Endothelial Function and Cardiovascular Risk in Patients With Early Vascular Disease",2/1/2012,1/31/2020,5/31/2010,May-10,NCT01522950,Phase 2,NA,Interventional,76,Completed,1,FALSE,Industry,Industry,"Drug, Drug, Drug",Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Drug Intervention,Industry Sponsor,Non-Race Specific
Title: Comparative Effectiveness of Pedometer-Based Walking Interventions: WalkMore,1/27/2012,5/31/2015,5/31/2012,May-12,NCT01519583,Not Applicable,"Active, not recruiting",Interventional,120,Unknown status,1,FALSE,Other,Other,"Behavioral, Behavioral, Behavioral",Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,1,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Preeclampsia: A Marker for Future Cardiovascular Risk in Women,1/26/2012,1/31/2019,5/31/2012,May-12,NCT01519297,Not Applicable,NA,Interventional,150,Suspended,1,FALSE,Other,Other,Drug,Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Novel Peptides in Resistant Human Hypertension,1/23/2012,3/31/2018,4/30/2012,Apr-12,NCT01514357,Phase 1/Phase 2,NA,Interventional,12,Terminated,1,FALSE,NIH,Public,"Drug, Drug",Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2012,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Targeting Obesity and Blood Pressure in Urban Youth(Consortium Title: Childhood Obesity Prevention and Treatment Research [COPTR] and Site Project Name IMPACT (Ideas Moving Parents and Adolescents to Change Together).,1/23/2012,2/28/2019,2/1/2011,1-Feb-11,NCT01514279,Not Applicable,NA,Interventional,360,Completed,1,FALSE,NIH,Public,"Behavioral, Behavioral",Behavioral,Behavioral,FALSE,1,TRUE,Non-race specific,Non-race specific,2012,1,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
